Freq.	V(v2)
1.25892541179417e-001	(-4.41810639333009e+001dB,1.79990007603049e+002°)
1.58489319246111e-001	(-4.01926853403190e+001dB,1.75808847462128e+002°)
1.99526231496888e-001	(-3.62298407708012e+001dB,1.71416741845682e+002°)
2.51188643150958e-001	(-3.23001464434101e+001dB,1.66597827343420e+002°)
3.16227766016838e-001	(-2.84177278778070e+001dB,1.61127625945424e+002°)
3.98107170553498e-001	(-2.46053928081235e+001dB,1.54775148280309e+002°)
5.01187233627273e-001	(-2.08975096399199e+001dB,1.47314954777667e+002°)
6.30957344480194e-001	(-1.73429039648955e+001dB,1.38555363939133e+002°)
7.94328234724282e-001	(-1.40060800667793e+001dB,1.28388024547962e+002°)
1.00000000000000e+000	(-1.09638302907612e+001dB,1.16855827584884e+002°)
1.25892541179417e+000	(-8.29413299081123e+000dB,1.04216754221330e+002°)
1.58489319246112e+000	(-6.05744948333396e+000dB,9.09590488591414e+001°)
1.99526231496888e+000	(-4.27733654599023e+000dB,7.77271744944123e+001°)
2.51188643150958e+000	(-2.93177132385215e+000dB,6.51706713999267e+001°)
3.16227766016838e+000	(-1.96124159246418e+000dB,5.37914748332939e+001°)
3.98107170553498e+000	(-1.28792710058326e+000dB,4.38667294428013e+001°)
5.01187233627273e+000	(-8.34568785244029e-001dB,3.54618093374874e+001°)
6.30957344480194e+000	(-5.35844956418612e-001dB,2.84940924939659e+001°)
7.94328234724283e+000	(-3.41936384226482e-001dB,2.28023793058472e+001°)
1.00000000000000e+001	(-2.17323001308925e-001dB,1.81987202074977e+001°)
1.25892541179417e+001	(-1.37767411902710e-001dB,1.44991687344159e+001°)
1.58489319246112e+001	(-8.71937300911168e-002dB,1.15385749420563e+001°)
1.99526231496888e+001	(-5.51317255146435e-002dB,9.17563771319075e+000°)
2.51188643150959e+001	(-3.48409075008455e-002dB,7.29284925700857e+000°)
3.16227766016839e+001	(-2.20138350044642e-002dB,5.79415865061640e+000°)
3.98107170553498e+001	(-1.39107401984835e-002dB,4.60188045855411e+000°)
5.01187233627273e+001	(-8.79413703658267e-003dB,3.65359086255900e+000°)
6.30957344480195e+001	(-5.56422096594850e-003dB,2.89932724865881e+000°)
7.94328234724284e+001	(-3.52565353395170e-003dB,2.29919201913746e+000°)
1.00000000000000e+002	(-2.23914230469583e-003dB,1.82136108287394e+000°)
1.25892541179417e+002	(-1.42728529093380e-003dB,1.44045605194493e+000°)
1.58489319246112e+002	(-9.14959069789573e-004dB,1.13622636426173e+000°)
1.99526231496889e+002	(-5.91624081350750e-004dB,8.92487734032868e-001°)
2.51188643150959e+002	(-3.87506741662784e-004dB,6.96268739129578e-001°)
3.16227766016839e+002	(-2.58555557879625e-004dB,5.37124287330503e-001°)
3.98107170553498e+002	(-1.76939271804051e-004dB,4.06581503538501e-001°)
5.01187233627274e+002	(-1.25042128436278e-004dB,2.97689584079582e-001°)
6.30957344480195e+002	(-9.16625650467012e-005dB,2.04650174966246e-001°)
7.94328234724284e+002	(-6.95957695964434e-005dB,1.22508855371992e-001°)
1.00000000000000e+003	(-5.40786862750463e-005dB,4.68914291903392e-002°)
1.25892541179417e+003	(-4.17619745542902e-005dB,-2.62289529717462e-002°)
1.58489319246112e+003	(-2.99870796444975e-005dB,-1.00746211255744e-001°)
1.99526231496889e+003	(-1.62123949482522e-005dB,-1.80628698601221e-001°)
2.51188643150959e+003	(2.53533541605152e-006dB,-2.70130548482425e-001°)
3.16227766016839e+003	(3.03027797606739e-005dB,-3.74018272540262e-001°)
3.98107170553499e+003	(7.30834585190821e-005dB,-4.97824699841008e-001°)
5.01187233627274e+003	(1.40111360310954e-004dB,-6.48143833149596e-001°)
6.30957344480195e+003	(2.45853881384609e-004dB,-8.32982430118509e-001°)
7.94328234724284e+003	(4.13134063534647e-004dB,-1.06218724413937e+000°)
1.00000000000000e+004	(6.78055559696659e-004dB,-1.34797109997461e+000°)
1.25892541179417e+004	(1.09779210851594e-003dB,-1.70556666395986e+000°)
1.58489319246112e+004	(1.76291967426965e-003dB,-2.15404440978828e+000°)
1.99526231496889e+004	(2.81694508750896e-003dB,-2.71734170414990e+000°)
2.51188643150959e+004	(4.48722615752184e-003dB,-3.42556453384747e+000°)
3.16227766016839e+004	(7.13390622793595e-003dB,-4.31664462058244e+000°)
3.98107170553499e+004	(1.13272965683359e-002dB,-5.43846701364949e+000°)
5.01187233627274e+004	(1.79700825281762e-002dB,-6.85163520275699e+000°)
6.30957344480196e+004	(2.84898993721404e-002dB,-8.63312880295498e+000°)
7.94328234724285e+004	(4.51417118334189e-002dB,-1.08812654977546e+001°)
1.00000000000000e+005	(7.14797349534276e-002dB,-1.37226699744507e+001°)
